"title","description","release_year","director_name","poster_url","genre_names","imdb_score","imdb_votes","rt_score","rt_votes","letterboxd_score","letterboxd_votes"
"The Shawshank Redemption","Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates – including an older prisoner named Red – for his integrity and unquenchable sense of hope.","1994","Frank Darabont","https://a.ltrbxd.com/resized/sm/upload/7l/hn/46/uz/zGINvGjdlO6TJRu9wESQvWlOKVT-0-1000-0-1500-crop.jpg?v=8736d1c395","Crime,Drama","9.3","3100000","98%","250000","4.6","1900000"
"The Godfather","Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.","1972","Francis Ford Coppola","https://a.ltrbxd.com/resized/film-poster/5/1/8/1/8/51818-the-godfather-0-1000-0-1500-crop.jpg?v=bca8b67402","Crime,Drama","9.2","2100000","98%","250000","4.5","1898000"
"The Dark Knight","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","2008","Christopher Nolan","https://a.ltrbxd.com/resized/sm/upload/78/y5/zg/ej/oefdD26aey8GPdx7Rm45PNncJdU-0-1000-0-1500-crop.jpg?v=2d0ce4be25","Drama,Action,Crime","9.0","3000000","94%","250000","4.5","3110000"
"The Godfather Part II","In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.","1974","Francis Ford Coppola","https://a.ltrbxd.com/resized/film-poster/5/1/8/1/6/51816-the-godfather-part-ii-0-1000-0-1500-crop.jpg?v=6a49853f25","Drama,Crime","9.0","1400000","97%","250000","4.6","987000"
"12 Angry Men","The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors’ prejudices and preconceptions about the trial, the accused, and each other.","1957","Sidney Lumet","https://a.ltrbxd.com/resized/film-poster/5/1/7/0/0/51700-12-angry-men-0-1000-0-1500-crop.jpg?v=b8aaf291a9","Drama","9.0","929000","97%","100000","4.6","985900"
"Schindler’s List","The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.","1993","Steven Spielberg","https://a.ltrbxd.com/resized/sm/upload/bz/1x/em/jr/yPisjyLweCl1tbgwgtzBCNCBle-0-1000-0-1500-crop.jpg?v=ca5215c5a9","History,Drama,War","9.0","1500000","97%","250000","4.5","1038000"
"The Lord of the Rings: The Return of the King","As armies mass for a final battle that will decide the fate of the world–and powerful, ancient forces of Light and Dark compete to determine the outcome–one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​","2003","Peter Jackson","https://a.ltrbxd.com/resized/sm/upload/zs/nt/u4/uz/xieWkPAgQrrk5wOyncayPd65hrp-0-1000-0-1500-crop.jpg?v=4c89d05285","Action,Fantasy,Adventure","9.0","2100000","86%","250000","4.5","1576000"
"Pulp Fiction","A burger-loving hit man, his philosophical partner, a drug-addled gangster’s moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.","1994","Quentin Tarantino","https://a.ltrbxd.com/resized/film-poster/5/1/4/4/4/51444-pulp-fiction-0-1000-0-1500-crop.jpg?v=dee19a8077","Thriller,Crime","8.9","2300000","96%","250000","4.3","3088000"
"The Lord of the Rings: The Fellowship of the Ring","Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.","2001","Peter Jackson","https://a.ltrbxd.com/resized/sm/upload/3t/vq/0u/m6/1tX9ZlgVvWjAQhMs1vAfsYpi7VK-0-1000-0-1500-crop.jpg?v=30bbb824e1","Adventure,Action,Fantasy","8.9","2100000","95%","250000","4.4","2041000"
"The Good, the Bad and the Ugly","While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.","1966","Sergio Leone","https://a.ltrbxd.com/resized/film-poster/5/1/6/6/6/51666-the-good-the-bad-and-the-ugly-0-1000-0-1500-crop.jpg?v=9474a84e63","Western","8.8","856000","97%","100000","4.5","541000"
"For a Few Dollars More","Two bounty hunters both pursue the brutal and sadistic bandit, El Indio, who has a large bounty on his head.","1965","Sergio Leone","https://a.ltrbxd.com/resized/sm/upload/bt/gp/10/ue/for-a-few-dollars-more-0-1000-0-1500-crop.jpg?v=cf00c77ac6","Western","8.2","289000","95%","50000","4.2","192000"
"A Fistful of Dollars","The Man With No Name enters the Mexican village of San Miguel in the midst of a power struggle among the three Rojo brothers and sheriff John Baxter. When a regiment of Mexican soldiers bearing gold intended to pay for new weapons is waylaid by the Rojo brothers, the stranger inserts himself into the middle of the long-simmering battle, selling false information to both sides for his own benefit.","1964","Sergio Leone","https://a.ltrbxd.com/resized/film-poster/5/1/6/9/8/51698-a-fistful-of-dollars-0-1000-0-1500-crop.jpg?v=616ebad024","Western","7.9","245000","91%","50000","4.0","264000"
"Once Upon a Time in America","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.","1984","Sergio Leone","https://a.ltrbxd.com/resized/film-poster/5/1/7/4/8/51748-once-upon-a-time-in-america-0-1000-0-1500-crop.jpg?v=803d65b52c","Crime,Drama","8.3","396000","93%","50000","4.2","232000"
"Once Upon a Time in the West","As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.","1968","Sergio Leone","https://a.ltrbxd.com/resized/sm/upload/vz/7i/ka/ys/6ED4Wr2vgOc7yPiXIqovwLiQfCl-0-1000-0-1500-crop.jpg?v=3da900f744","Western","8.5","369000","94%","50000","4.4","218960"
"Tombstone","Legendary marshal Wyatt Earp, now a weary gunfighter, joins his brothers Morgan and Virgil to pursue their collective fortune in the thriving mining town of Tombstone. But Earp is forced to don a badge again and get help from his notorious pal Doc Holliday when a gang of renegade brigands and rustlers begins terrorizing the town.","1993","George P. Cosmatos","https://a.ltrbxd.com/resized/film-poster/4/4/8/3/9/44839-tombstone-0-1000-0-1500-crop.jpg?v=7242ef82fa","Western,Action","7.8","182000","93%","100000","3.9","162662"
"Django Unchained","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","2012","Quentin Tarantino","https://a.ltrbxd.com/resized/film-poster/5/2/5/1/6/52516-django-unchained-0-1000-0-1500-crop.jpg?v=f02aed63a3","Drama,Western","8.5","1800000","92%","250000","4.3","2341000"
